序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-去年同期,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-去年同期,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,所处行业,公告日期
63,600281,华阳新材,-0.3619,386874800.0,270551021.4,42.995135630266,68.520471817402,-186168000.0,-199674603.62,6.764307215406,-157.6895864758,0.12,-121.37,小金属,2026-04-04
64,000812,陕西金叶,0.0547,1440039600.0,1238612924.86,16.262277834923,5.05692185941,42015600.0,39760530.97,5.671627050709,-296.8403936419,2.35,2.32,包装印刷,2026-04-04
65,000729,燕京啤酒,0.375,14667016921.5,14212857297.0,3.195413948157,-62.067718005091,1055678539.28,644714424.03,63.743589399029,-143.8614310184,5.1867,7.42,非白酒,2026-04-03
66,688420,美腾科技,0.47,546394000.0,569945300.0,-4.132203564096,28.922511397607,40675300.0,74235200.0,-45.207529581654,112.4093410619,16.33,2.81,专用设备,2026-04-01
67,688070,纵横股份,-0.41,474202600.0,301763400.0,57.14384183105,120.302963067068,-35791700.0,-64499900.0,44.508906215359,4304.6759758433,6.51,-6.09,航空装备Ⅱ,2026-04-01
68,603906,龙蟠科技,-1.11,7677046200.0,8729478556.11,-12.056073559782,-3.619487355548,-644968000.0,-1233323456.08,47.704878487435,-324.2756827351,4.77,-21.19,电池,2026-04-01
69,603809,豪能股份,0.6335,2359809900.0,1945636976.94,21.287266225346,21.674896037977,321838200.0,181963234.04,76.86990544983,-3.5216685328,4.72,13.33,汽车零部件,2026-04-01
70,603290,斯达半导,2.12,3390620700.0,3662965373.81,-7.435087313608,10.733069102024,507666300.0,910525988.77,-44.244721593747,-43.2303165601,27.9,7.8,半导体,2026-04-01
71,601878,浙商证券,0.49,6502821473.87,17638225323.48,-63.132223596138,161.885315645806,1931881941.85,1753537425.31,10.170556611215,38.7794134332,9.0,6.76,证券Ⅱ,2026-04-01
72,600905,三峡能源,0.2135,29717000000.0,26501574113.98,12.132961884418,18.493739993141,6110000000.0,7174124131.49,-14.832809022904,-3.6217809015,3.03,,电力,2026-04-01
73,301158,德石股份,0.66,667229300.0,567008289.47,17.675404820568,52.239273558252,99193700.0,86734272.27,14.365057092097,23.0246377682,8.76,7.54,专用设备,2026-04-01
74,300839,博汇股份,-1.28,2279495800.0,2777755980.97,-17.937507267863,394.49664057549,-306816000.0,-202949623.99,-51.178402781923,-163.2709042034,1.64,-54.49,炼化及贸易,2026-04-01
75,601933,永辉超市,-0.16,67573824100.0,78642171577.01,-14.074315669388,-22.330876656911,-1465455900.0,-1329052123.15,-10.263237571654,-292.8842681908,0.49,-29.17,一般零售,2026-03-31
76,002935,天奥电子,0.1511,964367700.0,1108946847.33,-13.037518225342,95.351223028337,64197300.0,87186400.72,-26.367759799868,9872.7724282568,3.72,4.09,军工电子Ⅱ,2026-03-31
77,000785,居然智家,0.12,12965913200.0,13512033600.0,-4.041733584795,11.319037614128,769372400.0,1300245200.0,-40.828668315792,-70.8603448152,3.23,3.83,一般零售,2026-03-31
78,603826,坤彩科技,0.05,969893400.0,828992739.83,16.996609668608,-32.639018396861,35143000.0,83941610.63,-58.133993693659,-255.4148949291,2.87,1.87,非金属材料Ⅱ,2026-03-28
79,600800,渤海化学,-0.57,4783590900.0,3225328800.11,48.313278938782,61.316332455791,-632143000.0,-521010749.07,-21.330126322417,57.202856863,1.59,-30.45,炼化及贸易,2026-03-28
80,002810,山东赫达,0.65,1956503500.0,1556225499.78,25.721079642802,4.277134250713,221634900.0,220209397.81,0.647339397944,-68.1743252522,6.35,10.24,化学制品,2026-03-28
81,002673,西部证券,0.31,6712047100.0,6894312200.0,-2.643702442138,107.131659248603,1403260800.0,1165704200.0,20.378806218593,797.5198439049,6.45,4.95,证券Ⅱ,2026-03-28
82,603966,法兰泰克,0.4645,2129193384.58,1992074203.75,6.883236606944,16.629402130545,166953548.6,163358821.35,2.200510030798,20.0388691339,4.4948,10.57,专用设备,2026-03-27
83,600930,华电新能,0.24,33968000000.0,29580128992.0,14.833846766479,17.731359279053,8831000000.0,9619770057.0,-8.199468930404,-22.4789813524,2.93,,电力,2026-03-27
84,600189,泉阳泉,0.01,1197907400.0,1122000967.58,6.765273347644,0.094675414754,6141200.0,-457186658.98,101.343258793619,-2161.6152624921,1.69,0.51,饮料乳品,2026-03-27
85,603757,大元泵业,1.54,1908593200.0,1879091399.74,1.570003474237,34.954519260278,255294700.0,285400979.33,-10.548765249747,14.9893560169,10.04,15.35,通用设备,2026-03-26
86,002697,红旗连锁,0.38,10123248200.0,10132655167.35,-0.092838127763,-8.701934915176,521168800.0,561116571.71,-7.11933557554,6.2575258954,3.28,12.2,一般零售,2026-03-26
87,000532,华金资本,0.45,485864800.0,400958114.9,21.175948794845,78.835425128143,156536700.0,74002913.76,111.527752147255,1820.2721905716,4.31,11.04,多元金融,2026-03-26
88,600007,中国国贸,1.25,3912070000.0,3953761873.0,-1.054486191612,-2.388838716926,1262390000.0,1259201327.0,0.253229799844,-26.3668317493,9.58,13.35,房地产开发,2026-03-24
89,300497,富祥股份,-0.51,1177846600.0,1609669988.35,-26.826827329535,-31.749511252264,-272100600.0,-200800049.29,-35.508233669319,-430.1574574229,3.96,-11.62,化学制药,2026-03-24
90,600292,电投水电,0.18,14450212500.0,4251613495.67,239.875967434872,924.255710301538,807217700.0,54011676.95,1394.52441690944,1881.8870086972,3.75,5.07,电力,2026-03-23
91,300531,优博讯,-0.4588,1221190000.0,1267740015.49,-3.671889734585,-7.69266424839,-150465700.0,-166835125.64,9.811738132006,-1248.9236926633,4.07,-10.06,计算机设备,2026-03-23
